inn,year,code,value,source,fetched
1402047184,2023,prev3600,32181244,girbo,2026-09-14
1402047184,2023,prev4100,2396343,girbo,2026-09-14
1402047184,2023,prev4110,26064889,girbo,2026-09-14
1402047184,2023,prev4111,5397890,girbo,2026-09-14
1402047184,2023,prev4119,250699,girbo,2026-09-14
1402047184,2023,prev4120,23668546,girbo,2026-09-14
1402047184,2023,prev4121,877712,girbo,2026-09-14
1402047184,2023,prev4122,1186350,girbo,2026-09-14
1402047184,2023,prev4123,2010987,girbo,2026-09-14
1402047184,2023,prev4129,809028,girbo,2026-09-14
1402047184,2023,prev4200,-5107948,girbo,2026-09-14
1402047184,2023,prev4210,3287355,girbo,2026-09-14
1402047184,2023,prev4211,1522485,girbo,2026-09-14
1402047184,2023,prev4213,1405835,girbo,2026-09-14
1402047184,2023,prev4214,359035,girbo,2026-09-14
1402047184,2023,prev4220,8395303,girbo,2026-09-14
1402047184,2023,prev4221,940041,girbo,2026-09-14
1402047184,2023,prev4222,2738660,girbo,2026-09-14
1402047184,2023,prev4223,4404767,girbo,2026-09-14
1402047184,2023,prev4229,311835,girbo,2026-09-14
1402047184,2023,prev4300,8429371,girbo,2026-09-14
1402047184,2023,prev4310,46519761,girbo,2026-09-14
1402047184,2023,prev4311,29083376,girbo,2026-09-14
1402047184,2023,prev4313,1886028,girbo,2026-09-14
1402047184,2023,prev4314,14165948,girbo,2026-09-14
1402047184,2023,prev4319,1384409,girbo,2026-09-14
1402047184,2023,prev4320,38090390,girbo,2026-09-14
1402047184,2023,prev4322,4460224,girbo,2026-09-14
1402047184,2023,prev4323,31909719,girbo,2026-09-14
1402047184,2023,prev4329,1720447,girbo,2026-09-14
1402047184,2023,prev4400,5717766,girbo,2026-09-14
1402047184,2023,prev4450,474866,girbo,2026-09-14
1402047184,2023,prev4490,129942,girbo,2026-09-14
1402047184,2023,prev4500,6322574,girbo,2026-09-14
1402047184,2024,1100,95044769,girbo,2026-09-14
1402047184,2024,1110,212179,girbo,2026-09-14
1402047184,2024,1120,0,girbo,2026-09-14
1402047184,2024,1150,5221733,girbo,2026-09-14
1402047184,2024,1160,666,girbo,2026-09-14
1402047184,2024,1170,80285176,girbo,2026-09-14
1402047184,2024,1180,6941625,girbo,2026-09-14
1402047184,2024,1190,2383390,girbo,2026-09-14
1402047184,2024,1200,15440139,girbo,2026-09-14
1402047184,2024,1210,23980,girbo,2026-09-14
1402047184,2024,1230,5832109,girbo,2026-09-14
1402047184,2024,1240,2372074,girbo,2026-09-14
1402047184,2024,1250,7174298,girbo,2026-09-14
1402047184,2024,1260,37678,girbo,2026-09-14
1402047184,2024,1300,30704200,girbo,2026-09-14
1402047184,2024,1310,1030000,girbo,2026-09-14
1402047184,2024,1340,279,girbo,2026-09-14
1402047184,2024,1350,14956276,girbo,2026-09-14
1402047184,2024,1360,51500,girbo,2026-09-14
1402047184,2024,1370,14666145,girbo,2026-09-14
1402047184,2024,1400,44105045,girbo,2026-09-14
1402047184,2024,1410,39724707,girbo,2026-09-14
1402047184,2024,1420,4175701,girbo,2026-09-14
1402047184,2024,1450,204637,girbo,2026-09-14
1402047184,2024,1500,35675663,girbo,2026-09-14
1402047184,2024,1510,18731595,girbo,2026-09-14
1402047184,2024,1520,16806101,girbo,2026-09-14
1402047184,2024,1540,137967,girbo,2026-09-14
1402047184,2024,1600,110484908,girbo,2026-09-14
1402047184,2024,1700,110484908,girbo,2026-09-14
1402047184,2024,2100,79150,girbo,2026-09-14
1402047184,2024,2110,1662148,girbo,2026-09-14
1402047184,2024,2120,1582998,girbo,2026-09-14
1402047184,2024,2200,-582233,girbo,2026-09-14
1402047184,2024,2220,661383,girbo,2026-09-14
1402047184,2024,2300,-10587807,girbo,2026-09-14
1402047184,2024,2310,8261969,girbo,2026-09-14
1402047184,2024,2320,3387002,girbo,2026-09-14
